size,price,direction
80,5779900,-1
100,269000,1
100,5802200,-1
100,2254400,-1
100,274800,1
100,308600,-1
100,267900,1
200,268400,1
100,267000,1
200,304100,-1
100,5836300,1
100,5681200,1
26,301100,1
200,2227200,1
65,5830000,1
100,274500,1
200,301200,1
20,5829200,1
100,5851300,1
1200,302000,1
200,303700,-1
100,267400,1
610,5817600,-1
100,272300,1
1200,301800,1
8,5779200,-1
50,5878800,-1
16,5760000,-1
716,274200,-1
200,301400,1
26,5863600,1
94,308900,-1
2,5852900,-1
50,5875000,-1
2,2236500,1
1111,266200,1
8,2250000,-1
500,272400,-1
100,268400,-1
400,305000,1
23,304600,-1
10,304500,-1
1000,304900,1
100,309300,1
2100,303800,-1
50,5864300,-1
20,5642300,1
11,271700,1
60,5643800,1
100,307000,1
100,301100,1
500,272000,1
1000,272000,1
100,271700,1
200,301200,1
200,269400,1
500,307200,-1
3,5823700,1
100,301900,-1
100,5643800,1
100,306900,1
100,269800,1
97,5875700,-1
100,310700,1
70,2216100,-1
2,2243100,1
2594,302200,1
668,269600,-1
100,2226800,1
100,307700,1
100,2211900,1
100,269800,-1
100,5648400,-1
100,5655400,-1
100,308800,-1
700,269400,1
100,5778900,-1
100,307500,-1
100,2235500,-1
100,5815000,-1
100,5812400,1
300,301100,1
138,267200,-1
100,5650000,1
175,269500,1
200,274800,1
100,5661200,-1
14,5825200,-1
300,304600,1
76,5812800,-1
100,2206900,1
50,5868300,-1
100,5797000,-1
122,267200,1
100,5646200,1
100,266900,-1
40,2239100,1
48,5798200,-1
100,304800,-1
1000,273300,1
200,267000,1
200,307300,-1
156,301400,1
100,271700,1
100,301300,1
1,2211550,-1
1200,273500,-1
100,268000,1
100,5867300,-1
100,5791800,-1
100,269300,-1
100,5783100,-1
2,2226700,-1
200,5846650,1
19,2209000,1
100,2237000,-1
100,308000,-1
86,2220000,1
3,5779400,1
100,5851900,-1
2110,267000,1
25,5803700,-1
100,5638600,1
1,5854100,-1
3,5727500,-1
100,269300,1
33,308600,1
78,5783900,-1
100,301500,-1
446,310550,-1
114,5696000,1
100,5648000,-1
26,5646600,1
88,268600,-1
100,5777700,1
100,274800,-1
100,309700,-1
100,266500,1
89,5864700,-1
2200,301700,1
166,272000,1
700,301400,-1
66,5857800,1
100,273300,1
200,301800,-1
18,5869300,1
75,5860300,-1
20,5643300,-1
200,309800,1
200,301400,-1
100,2209400,1
93,267000,-1
90,267000,1
20,5732000,1
600,273300,1
10,5779600,1
1500,267800,-1
100,5863600,1
200,273800,-1
100,2210800,-1
52,302000,-1
100,274800,1
31,304400,-1
749,301500,-1
42,268200,-1
16,306100,-1
15,5798900,-1
23,5857200,1
27,268200,-1
14,2211800,-1
100,273200,-1
100,2246900,-1
100,5819000,1
4,5846100,1
100,300700,-1
80,5877000,-1
20,5776800,-1
200,302300,1
6,5756800,-1
25,5863900,1
100,308500,1
100,5860400,-1
600,303200,1
100,5781500,1
100,5830800,1
15,2225700,1
7,2211700,-1
2,5645400,1
100,268300,-1
4,5721600,1
100,266900,1
185,5851000,1
800,268300,1
12,5856500,-1
246,302500,1
92,5832000,1
700,301100,1
100,304300,-1
100,5778500,1
100,274400,-1
1200,305000,1
100,266900,1
20,5825000,1
10,5856200,1
9,5677000,-1
200,5775100,-1
100,309200,-1
800,271900,1
7,5828000,-1
200,5872000,1
1800,268500,1
3,5714900,1
38,5807100,-1
300,267600,1
200,273100,1
100,2236000,-1
800,306300,-1
84,2215000,-1
100,271200,-1
100,301800,1
3,5680600,1
500,310600,-1
400,269700,-1
100,309300,1
100,5879100,1
8,5820900,-1
61,2216800,-1
28,5776100,1
2,5652400,-1
191,309800,-1
300,269700,1
34,5648300,-1
100,5643800,1
4,5838000,1
1100,267200,-1
300,303000,-1
700,307800,-1
340,268400,-1
100,2210300,1
2,5860100,1
3,5685200,-1
200,306300,1
49,5784300,-1
100,2238500,-1
21,2257500,-1
800,271700,1
100,2208300,1
100,303800,-1
100,267900,-1
100,2209800,-1
100,309000,1
100,273400,1
300,302400,1
300,5821500,-1
100,301900,-1
97,269400,-1
100,308700,1
72,5775900,1
1,2240600,-1
100,269600,-1
48,273100,1
100,270200,-1
311,274200,-1
200,309100,-1
100,309000,1
100,2213200,-1
200,2245600,-1
73,5865400,1
25,5729900,1
250,5872500,-1
33,2214000,1
100,307100,-1
16,5850800,-1
100,273600,-1
52,309300,1
82,2240000,1
100,5857200,-1
100,271200,-1
200,302500,1
100,273600,-1
18,2211500,-1
100,5813900,-1
150,5834700,-1
45,273600,1
75,2243600,-1
100,273800,1
23,5757500,-1
200,266800,1
8,5814100,-1
100,5775600,-1
32,5850000,1
100,301950,-1
200,268100,-1
858,301100,1
8,5725600,-1
60,5776100,-1
1200,267000,-1
400,303400,-1
150,307300,1
44,5777000,1
100,268100,-1
50,5856700,1
100,266800,1
8,2209500,-1
100,301400,1
600,269900,1
99,5809000,1
6,2236500,-1
64,5660100,1
100,5856300,-1
200,267100,-1
200,269400,-1
7,2237100,1
19,2223700,-1
35,5642300,1
76,2244800,1
600,268300,1
177,269000,-1
100,274300,1
6,2246600,-1
100,302100,-1
800,273200,1
90,2212200,-1
100,274800,1
200,2210700,1
100,303800,-1
200,308700,-1
100,266900,-1
43,5861200,1
140,301000,-1
100,267150,-1
400,274200,-1
15,5807500,-1
228,2225700,1
200,310800,-1
300,301300,1
197,273800,-1
100,5652500,-1
1000,268200,1
100,5821100,-1
100,301600,-1
34,5856600,-1
200,301900,1
2,2231200,1
100,310200,1
7,2255600,-1
100,267200,-1
16,2209600,-1
400,267500,-1
700,304300,1
1355,308500,1
90,2211600,1
35,302200,1
100,266900,1
239,303400,-1
100,268100,1
100,5866700,1
700,309000,1
4,5713400,1
100,274450,-1
100,5780500,1
200,301200,1
100,308500,1
100,5640900,1
100,5776800,-1
61,5691100,1
45,5794000,-1
100,273500,1
100,2238100,-1
200,309500,1
75,5862000,1
100,2238850,1
300,304400,-1
1,5686500,1
300,271300,-1
400,266700,-1
100,272500,1
100,5798100,1
200,273900,1
700,301500,-1
100,268700,1
75,2242000,1
10,5868500,1
95,2212200,-1
400,310800,1
9,5696200,-1
100,309650,-1
200,307600,-1
300,268300,1
100,275100,-1
100,273800,-1
646,301100,-1
100,5859500,-1
100,5856900,-1
7,273700,-1
417,311100,1
100,268100,1
99,5862400,1
100,267000,1
100,5783900,1
56,266800,-1
100,308800,1
40,2210700,-1
165,304200,1
100,269800,1
359,308500,-1
34,2210900,1
2,5856800,-1
100,269500,1
59,267000,-1
100,272000,1
200,310000,-1
100,308300,-1
800,303900,1
100,302900,-1
100,303000,-1
91,273900,1
100,270150,1
100,269700,1
100,302300,-1
85,304400,1
200,305000,1
20,5642600,1
91,5817000,1
800,308800,1
80,5828300,1
49,2234100,-1
7,5870000,-1
100,5872600,1
100,304900,1
5,5787000,1
100,272500,-1
500,306700,1
100,300900,1
100,5814500,1
1100,302700,-1
2,5786500,-1
4,304650,1
100,273900,-1
67,5830200,1
1,2238400,1
98,5726100,1
100,2246800,-1
71,2207500,1
300,273500,1
5,5755000,1
100,267950,-1
57,307200,-1
400,307100,-1
100,5860900,-1
333,266100,1
20,5793900,1
1,5814900,-1
43,5810600,1
400,270600,1
185,301100,1
189,271400,1
5,5780800,-1
100,271900,1
100,5752000,1
300,301800,-1
100,301300,1
100,304500,-1
24,5850000,1
100,5779800,1
60,274300,-1
100,267100,1
100,303000,-1
100,5796700,1
91,5818000,1
4,273750,-1
300,305900,-1
100,268000,-1
58,5764400,1
100,267700,1
200,267000,1
100,275300,-1
5,309700,1
62,303000,1
1600,267600,-1
100,5849700,-1
100,5650000,-1
14,5778200,1
100,5822000,1
138,304500,1
200,310800,1
100,302000,1
366,302000,-1
100,5779300,1
37,5778800,1
10,2216600,-1
99,5639000,-1
100,5785600,1
400,5780700,1
35,267600,1
100,5698000,1
70,5647900,-1
100,5798900,-1
100,5857000,1
100,301200,1
100,267100,1
100,272100,-1
100,267000,1
100,275000,-1
100,266700,1
35,2257500,-1
200,266800,1
100,301500,-1
100,308400,1
100,269300,1
100,5849600,1
90,5777100,1
200,267150,-1
17,5778500,1
100,308900,1
100,5684200,-1
300,274700,-1
2800,267300,-1
57,5703300,-1
800,273100,1
6,5652600,-1
90,2211600,1
100,5667400,1
200,309100,-1
100,5860500,1
700,271500,-1
100,275200,1
100,5658800,-1
100,269700,1
100,2232300,1
82,272900,-1
100,302200,-1
8,5830900,-1
1300,266200,-1
60,5850000,1
100,5816000,1
7,5655400,-1
20,5778400,1
489,5775700,-1
300,273500,1
100,267900,1
100,2233300,1
300,301000,1
200,301500,1
100,268200,1
100,267700,1
30,5811100,1
500,5805750,1
30,2226800,1
50,5785800,1
200,5861100,-1
100,266700,-1
100,2206750,-1
100,267000,-1
100,5781600,1
500,301400,-1
200,275200,1
100,302500,-1
7,5817400,-1
1,5845000,1
300,269200,1
100,267100,1
200,266900,-1
4,2208200,-1
100,268200,1
100,307400,1
100,5642800,-1
35,5873900,1
100,5853600,-1
100,274900,1
1200,306600,-1
19,2232700,-1
415,305300,-1
1100,301900,1
366,269500,-1
100,269400,1
200,5645100,1
34,5691000,1
27,5830800,-1
176,308000,1
100,5860300,-1
100,5777500,-1
15,5669400,1
1200,308100,1
400,272500,1
100,5800000,1
293,5821000,-1
46,5856500,-1
38,5832900,-1
20,5867100,1
100,5779900,-1
50,5809000,1
132,5839100,-1
116,5841900,1
97,5841200,-1
10,5680800,-1
540,5853300,-1
96,5861800,-1
400,2207700,1
400,271200,1
100,5818100,1
200,310100,1
100,266700,1
34,2237800,1
100,5854100,-1
200,2242000,1
100,2206650,-1
249,266800,1
100,273300,-1
200,309700,-1
2000,269300,1
29,2242400,1
16,2213900,-1
100,272500,-1
100,304400,1
100,5867000,-1
300,306500,1
52,5869000,1
100,268350,1
30,5800000,1
100,5761400,-1
8,273800,-1
200,5684200,-1
50,5780300,1
260,304800,-1
100,302900,-1
3,5680000,-1
41,269300,1
100,5811350,1
800,269450,1
100,306100,-1
200,311100,1
19,5653600,1
100,302700,1
20,5782000,1
200,309100,1
300,5690700,1
97,5783300,-1
26,2252500,1
21,274900,1
72,5855000,1
600,271700,1
20,5661100,-1
100,5816600,1
100,301100,-1
100,302100,-1
9,5651400,1
700,303100,-1
100,269200,1
100,273200,1
400,272100,-1
100,301100,1
100,5829800,-1
300,267900,1
200,267700,-1
1,5689600,1
600,305900,-1
300,307700,1
100,266600,1
100,309700,-1
60,5810500,1
100,5814300,-1
1,5816000,1
600,303500,-1
57,5814600,-1
25,5646400,-1
29,5777800,1
100,5796100,-1
200,271600,1
40,2235700,-1
42,5678200,1
200,270100,-1
200,268300,1
400,266500,-1
100,5651300,1
176,266900,1
80,5863200,-1
22,2209600,-1
100,304700,-1
31,5861700,-1
4,5842400,-1
1,5870000,-1
100,305300,1
100,5793700,1
100,271400,-1
100,5647700,1
100,5839300,1
100,2206600,1
8,309400,1
100,5809900,-1
1,5776100,-1
100,268000,1
100,5783000,1
1,5866700,1
100,5871800,-1
300,269400,-1
100,307200,1
7,5779000,1
200,5824000,-1
20,2211100,-1
100,302700,1
47,5698400,1
800,273700,1
300,269100,1
3,5776000,1
92,309100,-1
74,5857900,1
5,5650200,-1
500,267600,1
52,274500,1
1,2239800,-1
100,274600,1
100,5812200,1
200,5815200,-1
300,266400,-1
400,307300,1
200,310800,-1
200,309000,-1
200,2234000,-1
100,271800,-1
6,309400,1
1600,271500,-1
1400,5855000,1
100,305200,1
17,5648500,1
50,5870000,-1
100,5812100,-1
50,5839600,1
700,302700,1
186,310700,-1
100,306800,-1
100,5753100,1
200,5851000,-1
100,301000,1
500,268500,-1
9,2248300,1
82,5783100,-1
100,5847300,-1
300,267050,-1
100,5811900,1
500,309000,-1
100,271900,1
100,310400,-1
90,5778700,1
100,304600,-1
200,307800,-1
200,272600,1
100,269700,1
200,268200,1
100,301100,1
43,2211000,1
100,5820300,-1
100,307600,-1
100,305900,-1
100,309200,-1
100,309300,-1
160,5815500,1
200,274900,1
100,268200,-1
75,269400,1
100,302050,-1
100,267200,-1
100,5858700,-1
144,303300,-1
100,273300,1
50,5860000,1
100,5652600,-1
200,271300,-1
2,5870000,-1
52,5789000,-1
1,5684300,1
77,5857100,1
2,5852400,-1
1300,269000,1
33,5813000,-1
100,5777000,1
100,310200,-1
100,5861700,-1
200,5798900,-1
100,5858500,-1
175,269600,1
100,2210500,1
400,268300,1
100,309200,1
200,5797400,-1
100,2241900,-1
55,5881400,-1
100,2238200,1
100,307800,1
100,5756500,-1
100,5720000,-1
22,5779500,1
17,2207600,-1
100,308700,1
100,2244000,-1
300,266700,-1
16,309300,1
100,273800,-1
147,5830500,1
89,5777300,1
400,266950,-1
300,267000,1
4,5643300,1
82,307000,-1
100,266700,1
100,5683400,-1
20,307700,1
190,274200,-1
99,5652200,-1
100,5842600,-1
100,269400,1
300,5749000,1
200,5841100,1
4,308550,1
1,5855200,1
16,5812500,-1
300,309400,1
400,310800,-1
28,2238500,-1
100,5675400,1
20,5813300,1
100,274800,-1
100,5775700,-1
25,5867700,1
100,5867300,-1
100,267400,1
5,5695300,-1
100,5863600,1
85,2225000,1
576,268000,-1
100,301900,1
200,308800,-1
208,304200,-1
200,303000,-1
100,5827300,-1
51,5845000,1
100,304400,-1
400,274900,-1
100,5649100,-1
4,5754800,1
100,308900,1
100,5854000,1
40,5852200,1
2,5777000,1
82,301900,1
100,2211000,-1
100,306100,-1
400,308900,1
100,5860600,1
200,272200,1
100,5782700,1
100,5852600,-1
41,5722500,-1
100,303100,-1
200,2225700,1
74,308500,1
20,304900,-1
500,306300,1
200,271400,-1
2,5693300,1
100,5659400,-1
155,5836000,-1
100,272000,-1
400,308500,1
17,5799000,1
65,309900,-1
100,270500,1
40,2210300,1
300,5646000,-1
21,5775100,1
100,269500,1
100,268200,-1
100,308300,1
2375,268200,1
100,268000,1
160,2218000,1
100,271300,1
29,5785000,1
32,5777300,1
20,5879500,-1
20,5657600,1
50,5847700,1
100,267800,1
4,269400,-1
100,5649100,-1
100,309900,-1
40,5834800,-1
100,5862200,1
280,273400,-1
100,273300,-1
203,266900,-1
100,303500,-1
200,273300,1
100,2205700,1
200,271200,1
200,307400,-1
100,268500,1
2,5758900,-1
100,5800900,1
100,2206800,1
76,2243700,-1
1,5812900,-1
41,5879500,-1
100,267900,-1
3,5680600,-1
367,266600,-1
56,5780900,1
100,302200,1
100,304500,1
100,306700,1
36,5851100,1
1000,302100,-1
200,302800,1
100,268500,-1
20,2228600,-1
995,271500,1
2,5683300,1
400,268500,1
13,5777900,-1
20,2207400,1
400,301150,-1
100,271500,-1
200,308900,1
500,301100,-1
400,272150,1
100,273400,1
2700,272500,1
100,303600,-1
100,271500,-1
191,5837000,1
100,2209100,1
200,304300,1
100,5675700,-1
25,2205700,-1
200,273700,1
2,5844600,1
300,309450,-1
100,309600,1
4,5861900,-1
100,5676600,-1
100,272200,1
34,5780000,1
100,5855000,1
100,266700,1
100,271400,1
95,306750,-1
100,5677600,1
52,5860400,-1
600,267200,1
300,5856900,1
100,271500,1
100,307100,1
100,2207400,1
100,308100,1
100,267100,1
100,271200,-1
100,5829500,-1
61,2206000,1
200,310800,1
100,2211500,-1
19,5781000,-1
5,5799400,1
800,273600,-1
50,5858300,1
45,309200,-1
100,5790300,-1
100,307300,1
40,2210200,1
100,302600,1
99,2226900,1
100,5869500,-1
2,5797700,1
100,305000,1
1000,267000,1
200,306000,1
527,266400,-1
110,303000,-1
6,2219300,-1
40,5779100,1
697,302200,1
100,268400,1
6,2220000,1
300,269600,-1
700,271300,1
200,267950,1
100,266800,1
100,269000,1
100,5861100,-1
8,5780000,-1
79,302300,1
100,267000,-1
500,266850,-1
1,2213500,1
64,303600,-1
1,5789900,1
200,5645100,1
100,266900,-1
100,5826000,-1
106,5865000,-1
100,268000,1
402,272200,1
219,301800,-1
1,5879400,1
100,268000,1
50,2237600,-1
50,5790200,-1
55,266800,-1
700,307800,1
5,2228900,-1
25,5643700,-1
100,302800,1
100,308300,-1
1926,267000,1
100,266900,-1
31,304300,1
65,5785300,1
100,308300,1
4,5861000,1
100,269400,-1
200,267000,1
400,267200,-1
4,5681300,-1
10,5853300,1
60,2233200,-1
53,5776200,1
300,272400,-1
100,303600,-1
100,5722300,-1
99,2210200,1
100,310400,-1
40,5677400,-1
700,302800,-1
10,271500,1
100,5831500,1
1000,271900,1
100,266800,-1
100,5783700,1
200,272800,-1
100,268200,1
100,272000,1
4,5831500,-1
100,305750,-1
36,5878300,1
500,268000,1
45,5861600,-1
4,5838100,1
100,307700,1
13,5848700,1
100,273500,1
53,5649700,-1
100,5782500,-1
12,5825300,1
100,302300,1
100,275600,-1
100,270000,-1
201,308800,1
1000,270200,-1
1200,267100,1
100,301700,-1
100,5867400,-1
100,273700,1
500,267200,1
100,274500,1
100,308950,-1
100,304500,1
100,5808600,1
100,5778300,-1
100,5839600,1
100,266900,1
100,308700,1
800,301400,1
100,274700,-1
63,5841800,-1
400,273400,1
98,304300,-1
100,5831400,1
179,2220500,-1
25,5863200,-1
300,309100,-1
70,5805900,1
244,301400,1
300,267000,-1
1,5861800,1
60,5723200,1
200,274200,1
18,5829400,-1
200,304300,1
100,269800,-1
100,5828800,1
197,2254200,1
100,303500,-1
43,307000,1
19,5852900,1
100,309000,1
100,309200,-1
52,301200,-1
1368,310500,-1
58,5826600,1
200,310100,1
100,5753600,-1
7,5842900,-1
100,2222200,1
116,2206400,-1
500,273400,-1
100,309700,-1
100,309300,-1
34,5861400,-1
48,2234600,-1
10,5780000,1
100,5879200,-1
155,5753800,-1
30,5870100,1
100,5782900,-1
100,305000,-1
100,5862500,1
7,5645100,-1
6400,267000,1
300,271200,1
204,268500,-1
9,5642700,1
100,5826200,1
55,5826500,1
18,5861700,1
100,266550,-1
114,5866200,-1
200,271700,1
700,309000,1
900,266950,1
100,306000,1
100,304900,-1
100,301100,-1
100,271900,1
18,274700,1
100,268900,1
112,5645100,-1
8,5837800,1
100,308850,1
41,5794200,1
14,5761600,-1
190,2225000,1
100,5679900,-1
4,5666900,1
800,272200,1
300,269400,1
14,5650300,1
200,304400,1
4,274500,1
9,5810600,1
100,273900,1
100,302000,1
100,305200,1
100,267400,-1
100,269200,-1
100,308800,1
100,272000,1
17,5779800,-1
1,5818100,-1
100,305000,-1
6,5720500,1
99,5840300,1
100,301400,-1
60,5676700,1
300,273500,1
4,307700,1
100,309300,1
100,266400,1
100,273500,1
29,5818100,1
98,273200,-1
10,5819600,-1
600,270500,1
100,310500,-1
100,273300,1
10,5833400,1
100,307400,1
4,5776900,-1
100,269500,1
100,271300,1
284,309300,1
7,5694200,1
1,2246000,1
90,5784100,-1
100,266600,1
16,5780100,-1
200,5865000,-1
100,5819400,-1
400,301200,-1
90,2225400,-1
100,5811800,-1
50,5818800,1
200,302500,-1
300,267100,-1
2,273800,1
6,2227400,-1
27,5870000,-1
10,309250,1
100,5830100,-1
39,5742000,1
100,5865000,-1
10,5659100,1
145,302000,1
100,5778400,1
200,5855100,1
236,271600,1
300,301900,1
100,268400,1
100,5832000,-1
80,5801600,-1
100,269800,1
100,273000,-1
500,303200,-1
100,267100,-1
23,5810100,-1
100,5799800,1
100,5776700,1
8,5786800,-1
594,268200,1
578,304100,-1
100,267950,1
600,302100,-1
100,269000,-1
100,5649300,-1
100,303300,-1
100,273700,-1
100,267250,-1
8,5824700,1
18,5835800,-1
32,2208800,-1
1000,266400,-1
100,304400,-1
100,305200,1
100,309000,-1
100,5645100,1
20,2205900,1
3,5724700,1
100,5642300,-1
124,5760100,-1
100,5846300,-1
2,2227000,1
600,273800,1
100,5819300,1
300,309800,-1
1000,309200,-1
1000,301400,1
654,301400,-1
300,266500,-1
100,5840000,-1
100,269250,-1
200,5647200,-1
1600,304000,-1
100,2238200,-1
45,5748100,-1
100,5778700,-1
100,5850600,1
1100,308900,1
3,5789700,1
100,5794600,1
100,269800,-1
56,273400,1
55,5775800,1
862,268300,1
100,2206000,1
100,273500,1
2,5675700,-1
300,306800,1
200,309000,1
100,303100,-1
2,2239700,1
100,307700,-1
4,5868900,-1
2,5833100,1
38,5876900,-1
100,305000,1
1,5797000,-1
100,301100,1
2,5754400,-1
103,5871000,1
100,304700,1
299,5860600,1
400,309800,1
200,303700,-1
24,2215600,1
200,273600,-1
200,272000,-1
400,301100,1
100,5777400,1
7,301100,1
100,309000,1
200,272600,1
13,5808900,-1
100,309400,-1
200,305200,-1
19,267900,1
11,5822500,-1
100,271300,1
200,5650000,1
100,305000,-1
29,5807600,1
100,5642200,1
100,302400,-1
200,303100,1
2300,271400,-1
3300,302600,1
100,304450,-1
970,310800,-1
200,267000,1
97,5819800,1
20,5801100,1
80,2236050,-1
200,310500,-1
8,307200,1
100,5840200,1
2,5862100,-1
70,5856800,-1
100,274500,-1
100,301900,-1
200,266900,1
16,5785900,-1
100,2211900,1
526,301800,-1
100,302500,-1
15,5808600,-1
200,310900,-1
1100,271300,-1
100,307800,-1
8,2207500,-1
100,271400,1
90,5781000,-1
100,266800,1
500,268600,-1
4,5811300,-1
1,5752700,1
100,307300,-1
9,5748700,-1
400,302800,1
55,309000,-1
200,304800,1
100,309100,-1
100,301600,-1
7,5721600,-1
100,5856400,1
100,300900,-1
100,273150,1
99,310500,-1
46,302100,-1
67,5858200,1
200,271500,1
200,274900,-1
100,269100,1
100,301200,-1
8,300700,-1
1,5646900,1
12,2237400,-1
535,269200,-1
100,306900,1
100,5848700,1
200,310400,-1
100,5860500,1
1000,309300,1
100,303100,-1
100,308300,-1
80,5815100,1
27,5678100,-1
733,301200,-1
16,5701500,1
300,273700,1
100,5779400,1
400,268000,1
200,310600,-1
100,302950,1
1,2250000,-1
100,305800,1
25,5815000,1
100,274000,1
100,302100,-1
100,304400,-1
200,269300,1
200,307800,-1
30,2218300,-1
2,5862500,-1
54,271800,1
100,301900,1
1000,308700,-1
93,310500,-1
100,304200,1
10,2236400,-1
200,266800,1
290,5856900,1
100,5782900,1
940,271700,-1
300,274100,1
628,304200,1
100,5781000,1
100,5813500,1
200,266700,1
100,301800,-1
65,5829700,-1
23,5866900,1
100,310300,-1
2,5837600,1
3,2237700,-1
100,266950,1
95,5803200,1
100,5852500,-1
3,2241000,-1
1,5810900,1
22,5643200,-1
100,303000,-1
200,310300,-1
200,5835500,1
100,5827800,1
976,310800,1
1,269400,-1
100,303100,-1
100,271500,-1
540,2209800,1
500,2243400,-1
100,2209000,1
100,2234500,1
147,2222100,1
14,5859700,-1
2000,271500,1
1700,301100,-1
200,5859200,-1
300,2223000,1
100,301800,1
97,5778500,1
100,2236100,-1
200,5842600,1
2,5833300,1
1,300950,1
100,5855000,1
476,5844900,1
100,5717600,1
100,2253700,-1
100,309700,-1
100,5851600,1
300,267300,-1
14,5687600,1
100,304100,1
200,304000,1
90,267000,-1
506,302100,1
40,267500,-1
700,271200,-1
100,5812100,1
100,300900,-1
4,5869600,1
50,5795500,1
20,2241000,1
100,5780600,-1
100,306000,-1
900,271500,-1
17,2225000,1
600,310000,-1
200,273100,-1
100,2210100,-1
100,2225300,1
27,5651200,1
418,303000,-1
200,306000,-1
100,272900,-1
65,5836500,1
539,301400,-1
100,308900,1
100,307100,1
400,267000,-1
48,5829500,1
100,5846100,-1
100,5775400,1
100,5678600,-1
10,2240600,-1
100,5719100,-1
500,274000,1
200,267300,1
200,307200,1
355,2239700,1
100,5862400,-1
100,5852400,1
100,266900,-1
48,5780700,-1
54,5692200,-1
700,309000,1
100,309100,1
1300,303700,-1
5,305000,1
4,5643100,-1
3,303900,1
20,2207800,1
100,271500,1
646,302800,-1
100,5781000,-1
2,5682800,-1
100,269600,-1
100,5779000,-1
600,272000,-1
1000,309500,-1
20,2211000,-1
300,268200,1
92,267700,-1
100,2223400,1
1200,300900,1
100,5683100,-1
100,5830600,-1
32,304800,1
5,5804600,-1
100,302800,1
59,2253000,1
100,302200,1
100,266900,-1
100,5804800,1
100,5839700,1
100,267000,1
40,5649100,1
100,306400,-1
16,2206700,1
100,269800,-1
100,310400,-1
100,275500,1
100,5793700,1
100,308900,-1
6,2225300,-1
25,5830300,-1
600,306700,-1
100,301550,-1
54,5671100,-1
100,5696500,-1
59,5820000,-1
100,269500,-1
100,310300,1
85,308800,1
300,303700,1
100,5825100,1
21,5782900,1
100,274700,-1
36,5748900,1
300,269400,-1
100,5830700,-1
15,5783000,1
60,5856400,-1
83,5858400,-1
100,273400,1
42,5688600,1
100,5822000,-1
1,5760300,-1
100,267200,1
100,5775700,-1
50,5854100,-1
567,305000,-1
87,268000,1
90,266300,-1
300,302700,-1
100,5775800,-1
900,270800,1
100,5858400,-1
300,274700,1
100,271400,-1
100,2206750,1
100,301900,-1
3,5677900,1
181,268100,1
300,267100,-1
1214,270000,1
100,303700,-1
24,5811300,-1
450,305100,1
50,5721600,1
200,272300,-1
389,2206500,-1
100,2206800,1
100,2238600,1
100,5775100,-1
81,272000,-1
39,5796300,1
66,5870300,1
100,5756650,1
10,5765400,1
100,266950,1
37,5837700,1
100,273500,1
5,273800,1
4,5683100,1
177,5862400,1
100,300900,1
40,2211000,-1
800,271700,1
100,300800,1
18,5671200,1
200,274800,-1
200,301200,1
100,267500,-1
100,5827400,1
2,5812900,-1
116,302800,1
50,5849500,1
58,301750,1
100,5820800,1
800,269200,-1
97,273700,1
200,5830100,-1
76,5828100,1
